Bases,Treino/Teste,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
PCA_10_CNN_16_128_AVG,10-fold CV,"0,773","0,779","0,797","0,792","0,802","0,792","0,808","0,807","0,806","0,801"
PCA_10_CNN_16_128_AVG,70/30,"0,804","0,779","0,804","0,800","0,800","0,779","0,800","0,792","0,821","0,808"
PCA_10_CNN_16_128_MAX,10-fold CV,"0,768","0,778","0,801","0,810","0,826","0,811","0,822","0,823","0,818","0,816"
PCA_10_CNN_16_128_MAX,70/30,"0,775","0,771","0,796","0,808","0,808","0,792","0,796","0,779","0,787","0,792"
PCA_10_CNN_16_256_AVG,10-fold CV,"0,842","0,836","0,850","0,843","0,867","0,852","0,876","0,862","0,861","0,860"
PCA_10_CNN_16_256_AVG,70/30,"0,846","0,804","0,846","0,854","0,854","0,850","0,871","0,854","0,854","0,863"
PCA_10_CNN_16_256_MAX,10-fold CV,"0,857","0,863","0,858","0,868","0,878","0,871","0,871","0,870","0,877","0,883"
PCA_10_CNN_16_256_MAX,70/30,"0,858","0,867","0,858","0,875","0,867","0,871","0,871","0,875","0,879","0,854"
PCA_10_CNN_19_256_AVG,10-fold CV,"0,838","0,842","0,867","0,855","0,868","0,862","0,871","0,861","0,873","0,865"
PCA_10_CNN_19_256_AVG,70/30,"0,833","0,833","0,858","0,842","0,858","0,842","0,850","0,838","0,829","0,833"
PCA_10_CNN_19_256_MAX,10-fold CV,"0,870","0,863","0,886","0,880","0,880","0,877","0,882","0,885","0,886","0,878"
PCA_10_CNN_19_256_MAX,70/30,"0,879","0,854","0,846","0,863","0,867","0,867","0,867","0,854","0,863","0,863"
